route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_desc,route_short_name
Oskayak & Nutana,3,000000,FF8000,,10761,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,325
SASK POLYTECHNIC,3,000000,FF8000,,10760,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,316
Sasktel Centre / City Centre,3,000000,FF8000,,10763,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,333
Lawson Heights / Broadway,3,000000,72C1DD,,10813,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,13
River Heights / City Centre,3,000000,42D160,,10812,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,12
Airport / City Centre,3,000000,8AB0DD,,10811,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,11
University Direct 2,3,000000,FF8000,,10810,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,102
College Park / University,3,000000,FF8000,,10817,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,18
Stonebridge / University,3,000000,FF8000,,10816,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,17
City Centre / Civic Op Centre,3,000000,FF8000,,10815,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,15
South Industrial / City Centre,3,000000,C1C0E1,,10748,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,20
City Centre / Centre Mall,3,000000,672E82,,10747,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,19
College Park / University,3,000000,FF8000,,10746,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,18
Stonebridge / University,3,000000,FF8000,,10745,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,17
City Centre / Centre Mall,3,000000,FF00FF,,10818,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,19
North Industrial / City Centre,3,000000,9EC149,,10743,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,14
Lawson Heights / Broadway,3,000000,72C1DD,,10742,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,13
River Heights / City Centre,3,000000,42D160,,10741,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,12
