block_id,bikes_allowed,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name
a_54933,0,10753,0,1,University,76901,2_merged_1068300,1050359,
a_54935,0,10753,0,1,University,76901,2_merged_1068300,1050358,
a_54934,0,10753,0,1,University,76901,2_merged_1068300,1050357,
a_54933,0,10753,0,1,University,76901,2_merged_1068300,1050356,
a_54935,0,10753,0,1,University,76901,2_merged_1068300,1050355,
a_54934,0,10753,0,1,University,76901,2_merged_1068300,1050354,
a_54933,0,10753,0,1,University,76901,2_merged_1068300,1050353,
a_54935,0,10753,0,1,University,76901,2_merged_1068300,1050352,
a_54934,0,10753,0,1,University,76901,2_merged_1068300,1050351,
a_54933,0,10753,0,1,University,76901,2_merged_1068300,1050350,
b_55178,0,10863,0,1,Centre Mall,77638,2_merged_1068304,1067931,
b_55137,0,10803,0,0,City Centre,77391,1_merged_1068301,1062706,
b_55105,0,10800,0,0,Meadowgreen,77641,2_merged_1068304,1062236,
b_55196,0,10821,0,1,City Centre,77469,1_merged_1068301,1064958,
b_55253,0,10821,0,1,City Centre,77469,1_merged_1068301,1064959,
b_55261,0,10821,0,0,Confederation Terminal,77468,1_merged_1068301,1064956,
b_55255,0,10821,0,0,Confederation Terminal,77468,1_merged_1068301,1064957,
b_55261,0,10821,0,0,Confederation Terminal,77468,1_merged_1068301,1064954,
b_55254,0,10821,0,0,Confederation Terminal,77468,1_merged_1068301,1064955,
b_55259,0,10821,0,0,Confederation Terminal,77467,1_merged_1068301,1064952,
b_55260,0,10821,0,0,Confederation Terminal,77468,1_merged_1068301,1064953,
b_55258,0,10820,0,1,University,77466,1_merged_1068301,1064950,
b_55258,0,10820,0,1,University,77466,2201_merged_1068302,1064951,
a_54865,0,10747,0,1,Centre Mall via Lorne,76878,1_merged_1068297,1049892,
a_54866,0,10747,0,1,Centre Mall via Lorne,76878,1_merged_1068297,1049893,
a_54867,0,10747,0,1,Centre Mall via Lorne,76877,1_merged_1068297,1049890,
a_55074,0,10733,0,1,Market Mall via Preston,77095,1_merged_1068297,1055026,
a_54898,0,10745,0,1,University,76865,2_merged_1068300,1049675,
a_55074,0,10733,0,1,Market Mall via Preston,77095,1_merged_1068297,1055027,
a_54865,0,10747,0,1,Centre Mall via Lorne,76878,1_merged_1068297,1049896,
b_55185,0,10859,0,0,Centre Mall,77609,3_merged_1068303,1067335,
a_54866,0,10747,0,1,Centre Mall via Lorne,76878,1_merged_1068297,1049897,
a_54899,0,10745,0,1,University,76865,2_merged_1068300,1049670,
a_54868,0,10747,0,1,Centre Mall via Lorne,76878,1_merged_1068297,1049895,
b_55315,0,10855,0,0,University via City Centre,77579,1_merged_1068301,1066701,
b_55329,0,10855,0,0,Confederation Terminal,77583,1_merged_1068301,1066700,
b_55331,0,10855,0,0,City Centre,77582,1_merged_1068301,1066703,
b_55330,0,10855,0,0,City Centre,77582,1_merged_1068301,1066702,
b_55329,0,10855,0,0,University via City Centre,77579,1_merged_1068301,1066705,
b_55315,0,10855,0,0,Confederation Terminal,77583,1_merged_1068301,1066704,
b_55120,0,10855,0,0,University via City Centre,77579,1_merged_1068301,1066706,
b_55223,0,10855,0,0,Confederation Terminal,77583,1_merged_1068301,1066709,
b_55223,0,10855,0,0,Confederation Terminal,77583,1_merged_1068301,1066708,
b_55183,0,10859,0,0,Centre Mall,77609,3_merged_1068303,1067334,
b_55172,0,10861,0,1,Centre Mall,77626,1_merged_1068301,1067598,
b_55171,0,10859,0,0,University via Taylor,77611,1_merged_1068301,1067233,
a_54991,0,10784,0,0,Confederation Terminal,77014,2_merged_1068300,1051918,
a_54992,0,10784,0,0,Confederation Terminal,77014,2_merged_1068300,1051919,
a_54991,0,10784,0,0,Confederation Terminal,77014,2_merged_1068300,1051916,
a_54992,0,10784,0,0,Confederation Terminal,77014,2_merged_1068300,1051917,
a_54991,0,10784,0,0,Confederation Terminal,77014,2_merged_1068300,1051914,
a_54992,0,10784,0,0,Confederation Terminal,77014,2_merged_1068300,1051915,
a_54974,0,10784,0,0,University,77013,2_merged_1068300,1051912,
a_54975,0,10784,0,0,University,77013,2_merged_1068300,1051913,
a_54975,0,10784,0,0,University,77013,2_merged_1068300,1051910,
a_54976,0,10784,0,0,University,77013,2_merged_1068300,1051911,
a_55074,0,10733,0,1,Market Mall via Preston,77095,1_merged_1068297,1055028,
b_55160,0,10861,0,1,Centre Mall,77626,1_merged_1068301,1067597,
a_55081,0,10733,0,0,City Centre,76794,3_merged_1068299,1055205,
a_55081,0,10733,0,0,Broadway,77094,3_merged_1068299,1055202,
a_55081,0,10733,0,0,Broadway,77094,3_merged_1068299,1055200,
a_55081,0,10733,0,0,City Centre,76794,3_merged_1068299,1055201,
a_54803,0,10740,0,1,City Centre,76832,2_merged_1068300,1048969,
a_55089,0,10740,0,1,City Centre,76832,2_merged_1068300,1048968,
b_55147,0,10803,0,1,City Centre,77399,3_merged_1068303,1062931,
a_55089,0,10740,0,1,City Centre,76832,2_merged_1068300,1048961,
a_55088,0,10740,0,1,City Centre,76832,2_merged_1068300,1048960,
a_54806,0,10740,0,1,City Centre,76834,2_merged_1068300,1048963,
a_54803,0,10740,0,1,City Centre,76834,2_merged_1068300,1048962,
a_54803,0,10740,0,1,City Centre,76832,2_merged_1068300,1048965,
a_55089,0,10740,0,1,City Centre,76832,2_merged_1068300,1048964,
a_55088,0,10740,0,1,City Centre,76832,2_merged_1068300,1048967,
a_54864,0,10740,0,1,City Centre,76832,2_merged_1068300,1048966,
a_54892,0,10745,0,0,Stonebridge,76861,1_merged_1068297,1049566,
a_54892,0,10745,0,0,Stonebridge,76861,1_merged_1068297,1049567,
